   17.74814    1.009837    2.748145    2.251855    0.007808297    0.007272016
   25.63294    1.000698    5.632943    4.367057    0.003024258    0.00292961
   35.4381    0.9941129    5.438101    4.561899    0    0.002468696
   44.35009    0.9989226    4.350091    5.649909    0.002083338    0.00203225
   57.23991    1.005348    7.239913    17.76009    0.004059751    0.003873238
   84.66459    0.9763313    9.664592    15.33541    0.01370734    0.01237258
   122.9886    0.9904587    22.98861    77.01139    0.0219737    0.01816184
     
     
    
   
  
 
