2.5    0.00037 2.5 2.5 0 0
7.5    0.00037 2.5 2.5 0 0
12.5   0.00037 2.5 2.5 0 0
17.5   0.00037 2.5 2.5 0 0
22.5   0.00037 2.5 2.5 0 0
27.5   0.00037 2.5 2.5 0 0
32.5   0.00037 2.5 2.5 0 0
37.5   0.00112 2.5 2.5 0 0
42.5   0.00187 2.5 2.5 0 0
47.5   0.00262 2.5 2.5 0 0
52.5   0.00411 2.5 2.5 0 0
57.5   0.00561 2.5 2.5 0 0
62.5   0.00935 2.5 2.5 0 0
67.5   0.01458 2.5 2.5 0 0
72.5   0.02206 2.5 2.5 0 0
77.5   0.03252 2.5 2.5 0 0
82.5   0.04598 2.5 2.5 0 0
87.5   0.06243 2.5 2.5 0 0
92.5   0.08636 2.5 2.5 0 0
97.5   0.11402 2.5 2.5 0 0
102.5  0.14841 2.5 2.5 0 0
107.5  0.18654 2.5 2.5 0 0
112.5  0.23140 2.5 2.5 0 0
117.5  0.28150 2.5 2.5 0 0
122.5  0.33533 2.5 2.5 0 0
127.5  0.39290 2.5 2.5 0 0
132.5  0.45271 2.5 2.5 0 0
137.5  0.51252 2.5 2.5 0 0
142.5  0.57607 2.5 2.5 0 0
147.5  0.63364 2.5 2.5 0 0
152.5  0.68822 2.5 2.5 0 0
157.5  0.74131 2.5 2.5 0 0
162.5  0.78841 2.5 2.5 0 0
167.5  0.82953 2.5 2.5 0 0
172.5  0.86692 2.5 2.5 0 0
177.5  0.89383 2.5 2.5 0 0
182.5  0.92150 2.5 2.5 0 0
187.5  0.93645 2.5 2.5 0 0
192.5  0.95514 2.5 2.5 0 0
197.5  0.96710 2.5 2.5 0 0
202.5  0.97907 2.5 2.5 0 0
207.5  0.98430 2.5 2.5 0 0
212.5  0.99028 2.5 2.5 0 0
217.5  0.99252 2.5 2.5 0 0
222.5  0.99551 2.5 2.5 0 0
227.5  0.99626 2.5 2.5 0 0
235    0.99850 5.0 5.0 0 0
245    0.99925 5.0 5.0 0 0
255    0.99925 5.0 5.0 0 0
270    1.00000 10. 10. 0 0
290    0.99850 10. 10. 0 0
310    0.99925 10. 10. 0.014 0
360    0.99925 40. 40. 0.03 0
