17.78407    0.9407274    2.784067    2.215933    0.001087072    0.001088455
   25.68076    0.9487968    5.680757    4.319243    0.001419033    0.001419033
   35.46372    0.952305    5.463724    4.536276    0.0002918993    0.000291521
   44.32528    0.950756    4.325276    5.674724    0.0002777244    0.0002767923
   56.94392    0.9501794    6.943922    18.05608    0.0005586115    0.0005555885
   84.32102    0.9486988    9.321022    15.67898    0.001603127    0.00157197
   123.2851    0.9470256    23.28511    76.71489    0.00263708    0.002550391
     
     
    
   
  
 
